Condition,What is it?,What causes it?,What dogs are at risk?,What are the symptoms?,How is it diagnosed?,How can it be treated or managed?,Can it be prevented?
Addison's Disease,"Addison's disease, also known as hypoadrenocorticism, is a very serious hormone imbalance. Affected dogs often have only very subtle, intermittent signs, until the disease progresses to a life-threatening Addisonian Crisis.","Lack of natural steroid hormones, made in the dog's adrenal glands. Normally, dogs make two types of steroids: glucocorticoids (like cortisol, which help them cope with stress) and mineralocorticoids (which control their salt and water balance). In Addison's, the adrenal glands do not produce enough of these hormones; this may be because of damage to the adrenal glands (Primary Addison's) or, more rarely, injury or disease of other glands in the body that regulate the action of the adrenals, such as the pituitary (or ""Master"") gland. Occasionally, Addison's can also be the result of excessive steroid medications (we call this ""Iatrogenic Addison's"", and it occurs because the adrenal glands stop making steroids because we are giving the dog so many; if we reduce the dose too fast, the glands cannot adapt in time).","Addison's disease can affect any dog. However, it is most common in young to middle-aged bitches, and is slightly less common in male dogs of all ages.","Much of the time, a dog with Addison's may appear almost normal. However, observant owners will often notice subtle signs such as intermittent vomiting, shaking, muscle weakness or weight loss. These symptoms come and go, and in between episodes may disappear completely. Eventually, however, an affected dog will undergo an Addisonian Crisis, where the symptoms suddenly and dramatically worsen. This is a life-threatening condition, and is usually characterised by acute, severe vomiting and diarrhoea, dehydration, collapse and the rapid onset of shock. Without treatment, it is often fatal. Sadly, in as many as 30% of dogs, the first symptom is an Addisonian Crisis.","There are characteristic changes in the blood salts that are very suggestive of Addison's (especially the ratio between the sodium and potassium). A conclusive diagnosis, however, requires a specialist blood test called and ACTH stimulation test, where a sample of blood is taken, and then your dog is injected with a hormone that should increase the production of cortisol. A second blood sample is then drawn some time later, and if the dog's cortisol level hasn't risen, they are confirmed to have Addison's disease.","Fortunately, once diagnosed, it is perfectly possible to treat Addison's very effectively. In a Crisis, we would put the dog on a drip to correct the salt and fluid imbalances, and give them a steroid injection to help tide them over. Then we would aim to replace the ""missing"" hormones with specialist steroid medication - either as tablets or a long-acting injection. Regular monitoring is important to ensure that we're giving them the right amount of artificial steroids, but this can normally be done with a simple one-off blood test.","Unfortunately, neither Primary nor Secondary Addison's can be prevented as yet. However, Iatrogenic Addison's can be avoided by only very, very gradually reducing the dose of steroids if your dog has to be on these medications for any reason."
Allergies,"An allergy is an abnormal immune reaction to an otherwise harmless substance (an ""allergen""). Allergies are one of the most common causes of skin disease seen in dogs.","Your dog's immune system is a very powerful, very effective defence mechanism - anything that gets into them that it doesn't recognise is attacked and destroyed. However, sometimes the immune system can make a mistake, and respond to a harmless substance in the environment (such as pollen, or a particular type of food, for example). Of course, this cannot be destroyed but the immune system tries really hard to do so! The most common allergen in dogs is thought to be flea saliva (nasty, but not actually harmful!), but they can respond to a wide range of other substances, such as pollen, certain types of protein found in food, storage mites, cleaning products, fabric softener and many more. ","Any dog may develop an allergy; however, it is most common for dogs to become allergic early in adult life. It's important to remember, too, that a dog cannot become allergic to a substance until they have been exposed to it on at least two occasions.","The exact symptoms will depend on what part of the immune system has been stimulated; in general, however, most allergies in dogs present with skin symptoms (yes, even food allergies). These include itching, reddening of the skin, hair loss, self-trauma (from the scratching) and secondary infections. In many cases, the skin first affected is that lining the outer ear canals, so dogs with allergic skin disease may initially appear to have an ear infection; the softer skin between the pads on their feet is also commonly affected (when this is involved, we call it ""pododermatitis""). In other cases, the allergy may cause a runny, itchy nose (""allergic rhinitis"", very like hayfever in humans!), itchy, sore eyes (allergic conjunctivitis) and, rarely, stomach upsets (especially diarrhoea).","There are three approaches to diagnosis. The first is to look at the history - when do the symptoms appear, are they associated with any type of food, or bedding, or environment? Do they only appear after walking under certain trees in the park, or if you've used a particular fabric conditioner? This will often allow us to determine what types of things are causing the allergy, but not always. If not, we can use special tests such as the IgE Blood Test (to look for raised levels of antibody in the bloodstream) or the Intradermal Allergen Test (where we inject certain substances into the skin and then measure the response). These both have strengths and weaknesses, but using a combination of the two we can usually determine the cause of your dog's allergic reactions. The exception is food allergies, as there are no lab tests that can diagnose the condition. In the case of a food allergy, the only way to demonstrate it is to put the dog on an Exclusion Diet, where they eat only either novel foods (that their immune systems have never been exposed to before) or, better, a hydrolysed diet (which is specially formulated so the immune system cannot respond to it). If the symptoms resolve, then we reintroduce one foodstuff at a time until we discover which one is the problem!","The ideal treatment for any allergy is simple - avoid the allergen! In some conditions (like Flea Allergic Dermatitis) this is very doable - it isn't easy but it is possible to eradicate fleas in your house. However, this isn't always practical, so there are other options. The first is medication - there are a range of different medications available to reduce itching and damp-down the immune system's abnormal response. Some are rarely successful (such as antihistamines), some have many side effects (like steroids) and some are very expensive (like ciclosporin), but careful and judicious use of medication can make all the difference to a dog's quality of life. Other possibilities include desensitisation, where we ""teach"" the immune system to ignore harmless allergens.","No - predisposition to developing allergies is partly genetic, but it also depends on the environment. Unfortunately, at this time they cannot be prevented."
Anaemia,"Anaemia is actually a symptom, not a specific disease. It refers to a situation where there aren't enough red blood cells in the dogs bloodstream to effectively transport oxygen around the body.","There are a wide range of different conditions that can cause anaemia. Broadly speaking, these can be divided up into three areas. Firstly, those conditions characterised by loss of red blood cells. This essentially means blood loss - after a serious injury or wound, the dog will become anaemic because they have lost so many red blood cells. Secondly, diseases that result in the destruction of red blood cells, such as Immune-Mediated Haemolytic Anaemia (IMHA, where the immune system malfunctions and starts destroying red blood cells) and Babesia infection (where a parasite attacked and destroyed the cells). Finally, anaemia can also result if the body isn't making enough - for example, in iron deficiency and malnutrition, chronic, long-term disease, kidney failure, or certain diseases of the bone marrow. ","It depends on the type of anaemia, and the specific underlying disease - for example, tumours are more common in older dogs, whereas immune mediated anaemias are more common in young adults.","It will of course depend on how severe it is, but generally, the symptoms include pale or white gums, poor exercise tolerance, breathlessness and panting (even after little exercise, or at rest), rapid heart rate and, in some cases, collapse.","Firstly, we'll have to look at your dog's blood. We'll use machines in our lab to count the numbers of red blood cells, but then we'll have to look at the cells under our microscope to try and work out what's going on. It may be necessary to use other, specialist tests (such as the Coomb's Test for immune mediated anaemia), and the blood sample may need to be sent away to an external laboratory. Essentially, we will try and work out what the cause is, so that we can correct it. In a few cases, this can be really complicated, requiring lots of different techniques such as X-rays, ultrasound, additional blood tests, and even bone-marrow biopsies to determine what's going on.","In most cases, once we can determine the underlying cause and stop that, the anaemia will resolve on its own. For example, surgery to close a bleeding wound; medication to kill Babesia parasites, suppression of the immune system in IMHA, iron supplementation if the diet is deficient, etc). However, if the anaemia is very severe, it may be necessary to carry out a blood transfusion from a donor dog to supply extra red blood cells, and buy us time to work. Sometimes, the cause isn't something we can fix, sadly, but in the majority of cases, it can be either fixed or managed with medication.","It depends on the cause. Babesia infection, for example, can be prevented by using good tick repellents; immune mediated anaemia, however, cannot be predicted or prevented."
Anal Gland Problems,"Dogs have a pair of anal sacs (often called ""anal glands"") situated just inside their anus. In a healthy dog, these glands empty every time they go to the toilet - modifying the smell of the dog's faeces so that they can be used to communicate with other dogs (although they all smell equally vile to us!). If these glands become impacted, the secretions inside cannot be squeezed out. As a result, the glands become increasingly full, swollen and uncomfortable.","Any source of a ""malfunction"" in these glands can lead to problems. Most commonly, the glands fail to empty properly, and so become progressively fuller. The usual causes are an episode of diarrhoea (runny faeces don't squeeze out the glands as effectively as nice solid ones); poor conformation of the glands (which is probably genetic); or an increase in the ""thickness"" of the fluid (for example, a primary infection, but this is quite rare). Once the gland is impacted and unable to empty itself, secondary infections (which are very common!) occur. This causes the tissue to swell, making the impaction even worse. Eventually, if not expressed, a large and painful abscess will form next to the dog's bottom. When it ruptures, it may ooze pus all over the dog's back end, or burst internally causing severe internal infection.","Any dog may suffer from anal gland problems; however, toy and miniature breeds seem to be at higher risk of abnormally shaped or positioned anal glands. A dog who has suffered from a recent episode of diarrhoea is also at much higher risk.","The first sign is usually ""scooting"" - rubbing their bottom along the floor, trying to squeeze out the glands. If this is not successful, they may start licking, scratching or biting at their back end. As the glands become more swollen and painful, they may become constipated - they don't want to go to the toilet because it hurts so much!","Very simply - one of our vets will put a finger in your dog's bottom and feel the glands. They'll easily be able to tell if they're swollen, blocked - and if they're painful, your dog will make it very clear...!","The vast majority of anal gland issues are simple impactions, and our vets can easily ""squeeze"" them out and empty the overfull gland, solving the problem. Occasionally, if the gland is really swollen and inflamed, we may need to give them a short course of antibiotics and anti-inflammatory medication before we can empty them. If this isn't sufficient, the next option is to admit the dog for surgery and surgically drain the glands.","Some dogs are particularly prone to anal gland disease; for these, we'd recommend a small change in the diet (typically, a slight increase in the fibre content) which will allow the passing faeces to squeeze out the contents more effectively. If that isn't enough, we can always surgically remove the glands - this is a pretty complicated operation, and there are possible side effects, but it definitely removed the problem!"
Atopic Dermatitis,"Also known as ""Atopy"", Atopic Dermatitis is the second most common allergic disease in dogs, with as many as 15% of dogs affected. It may best be described as a condition where the dog's immune system is hyperactive, giving them a predisposition to developing allergies to multiple different harmless chemicals (or ""allergens"") in the environment.","Atopic Dermatitis is a genetic condition, although the exact mechanism isn't well understood. It causes a predisposition to developing allergies, and may also make the skin more susceptible to bacterial infections as well. Affected dogs may become allergic to pretty much anything - typically we'd expect to see allergies to grass, tree and other plant pollens, harmless mites (like dust mites or storage mites), as well as foodstuffs (typically protein sources such as beef or soy) and other ubiquitous substances. Occasionally, however, dogs develop much more unusual allergic reactions, for instance to perfume or even rice.","Although Atopy is seen in many breeds, the most heavily predisposed is the West Highland White Terriers. Other breeds with a higher than average chance of developing the condition include Staffordshire Bull Terriers, Boxers, Labradors, Golden Retrievers and German Shepherd. The symptoms always appear first in young dogs - although they may be so mild at first that they aren't noticed or diagnosed until the dog is older.","Atopy results in what we often call ""allergic skin disease""; however, it is often more severe and harder to manage than other skin-based allergies. The most characteristic symptom is violent itchiness - often dogs will rub themselves raw trying to scratch - which is usually worst on the face, in the armpits and on the feet. Other symptoms often include repeated ""ear-infections"" (because the ear canal is lined with skin!), and skin infections (""pyoderma""). The end result is hair loss, reddened, sore or scratched skin, and then infection with pustules forming.","Unfortunately, it is very hard to diagnose atopy conclusively - we generally work by ""ruling out"" other options! That said, the most powerful diagnostic technique in our armoury is the 2009 Favrot Criteria, which comprise a list  of ""check-points"" we score the dog against. If 5 are met, there's an 80% chance the dog is atopic; if we can match 6, that goes up to 90%. There are different versions of the test, but the criteria usually include: (1) symptoms appearing before three years old; (2) the dog mainly lives indoors but is still affected; (3) the itching improves if steroid medication is given; (4) the itching occurs before the hair loss or rash; (5) the front feet are affected; (6) the centres of the ears are affected, but (7) the edges are not; and (8) the dog's belly is more severely affected than their back.","Sadly, there is no cure for Atopic Dermatitis. However, it can be managed, and there are a wide range of different management options available. The key (if possible!) is allergen avoidance - if your dog isn't exposed to any of the allergens they overreact to, they won't develop symptoms. Allergy Tests (which may use a blood sample or a skin-prick test) can tell you what your dog is reacting to, so you can take steps to minimise their exposure. Skin treatments can be very useful, such as fatty acid sprays and soothing shampoos; but medications are usually essential. The mainstay of management is generally a drug called ciclosporin, which ""tunes down"" the immune response, but other options include steroids (effective but often with severe side effects if used for too long) and oclacitinib (an anti-itching drug). There's also the possibility in many cases to use immunotherapy with a vaccine that helps to ""teach"" the immune system that a particular allergen is harmless. In most cases, no one approach will be successful on its own, and managing a dog with Atopy requires experimentation and committment to find the combination of techniques that works for them.","There is no preventative medication or screening test at the moment, unfortunately, for this genetic disease."
Aural haematoma,"An aural haematoma (sometimes called a ""cauliflower ear""!) is like a bruise inside the ear. However, because of the location, the blood doesn't dissipate, but forms a large swelling between the layers of skin and cartilage inside the ear flap. In this sense, it's more like a blood blister, causing massive swelling and deformity of the affected ear or ears.","The most common cause is the dog shaking their head excessively - so it's worth thinking of the haematoma itself as a symptom rather than a disease in its own right. The most common causes are ear infections; ear mites; and foreign objects (like grass seeds) in the dog's ears. This makes them scratch at their ears and/or shake their heads, resulting in rupture of the fine blood vessels inside the ear flap.","Any dog may get an aural haematoma, but it is most common (and usually most severe) in dogs with long, floppy ears like Setters or Spaniels. These dogs are more likely to injure their ears when shaking, and are also slightly more likely to suffer from ear problems in the first place.","It depends how severe it is. A mild case may just have a swelling (often reddish or blue-purple) on one part of the ear flap (pinna); whereas a more severe one might result in the whole ear flap blowing up like a balloon. The swelling may be soft or hard to the touch, depending on how recent the bleed is and how much the blood has clotted. Usually, they are uncomfortable initially but soon become painless. ","The symptoms are pretty characteristic, but if in doubt, we can put a needle into the swelling and draw out some of the fluid - if it's blood, then the diagnosis is confirmed.","Haematomas will usually subside on their own in a few days, but this often results in permanent scarring and deformity of the ear, so we usually recommend prompt treatment by one of our vets. There are several ways to approach this condition, depending on how severe it is, and how tolerant the dog is! The simplest is simply to drain out the blood with a needle and syringe (we can usually do this in the consult with the dog awake). However, it will usually refill, needing two, three or even four drainages before it stays down. Injecting a little bit of steroid medication into the ear after draining it does seem to reduce the chance of recurrence. In many cases, however, it is better to to treat the condition surgically. The dog is given an anaesthetic and when asleep, we open up their ear, remove all the fluid and clotted blood,and sew all the layers back together again. The ear is then bandaged up to the the head to keep it safe while it heals! Whichever course of treatment we use though, it's vital to investigate the underlying problem - which is why we'll always have a look down their ears (on BOTH sides!) before we let you leave.","Rapid and effective treatment of ear infections and other diseases will in most cases prevent an aural haematoma from forming in the first place. If you have a dog with itchy ears, regular cleaning with a suitable ear-cleaner will often help too."
Babesia,Babesiosis is a disease caused by infection with Babesia canis. It is spread by ticks and causes anaemia.,"The Babesia organism is a microscopic parasite a bit like an amoeba. It can only survive and breed inside red blood cells - unfortunately, by living inside them it damages the cells. These organisms are spread by tick bites, and until recently, wasn't found in the UK. Unfortunately, in 2016 the first UK-based transmission of the disease occurred, and it is now thought to be present in our native tick population. The good news is that it can only be transmitted by the Meadow Tick (Dermacentor reticulatus) which is relatively uncommon; the common Sheep Tick (Ixodes ricinus) doesn't carry the disease.","Any dog may be exposed to tick bites if they go outside. The East of England is currently the highest risk area for Babesia, but as the disease will be carried by foxes, it won't remain isolated to this region indefinitely.","The destruction of red blood cells results in anaemia, meaning the dog is unable to transport oxygen around their body successfully. The symptoms do vary a little from dog to dog, but usually involve shortness of breath, lethargy, pale gums, discoloured urine and jaundice.","The parasites are usually visible if we look at a blood sample using a microscope. However, confirmation of the diagnosis requires special stains and so we'll often send a sample away to an external lab for an expert pathologist to confirm.","There are no licensed medications for dogs in the UK to kill the parasites, but we can order them in from other sources if needed. In addition, infected dogs are often very, very sick (some will sadly die even with treatment) so intensive care nursing in the practice is essential if they are going to survive. This may also require a blood transfusion, to replace the infected and damaged red blood cells.","There is no vaccine against Babesia, but the need for a tick is the organism's weak link! Ticks can only transmit the disease after they're firmly secured to your dog (usually 24-48 hours after the initial bite), so an effective tick control product will minimise the risk of infection. If you find a tick on your dog, use a tick hook to remove it (or ask one of our nurses to do it!)."
Bladder stones,"Bladder crystals form in urine all the time - there are loads of unwanted salts and waste materials in urine which can react together to produce them. Normally, however, they are so small that they don't cause any problems. Sometimes, however, the stones may get large enough to irritate the bladder lining, or even cause a blocked bladder - which is a medical emergency.","There are a number of different types of stones, each with their own set of causes. The more common ones are: (1) Struvite (also called ""Triple Phosphate"" or ""Magnesium Ammonium Phosphate""), which are usually caused by infections, alkaline urine, or sometimes minor dietary imbalances. (2) Cystine, caused by acidic urine, usually only a problem in dogs with a particular genetic disorder. (3) Calcium Oxalate, which may be caused by a genetic disorder, abnormal calcium levels (typically in dogs with a tumour or a parathyroid disease), or antifreeze poisoning. (4) Urate, usually caused by liver disease but is normal in some breeds of dog!","Any dog may develop a bladder stone - most commonly struvite, triggered either by a urinary tract infection or a slight dietary imbalance. Cystine crystals are most commonly seen in breeds such as Newfoundlands, Bassets and Chihuahuas; whereas the gene causing Calcium Oxalate production is more common in the Yorkshire Terrier and Lhasa Apso (among others). Urate crystals almost always mean liver disease - except in Dalmatians, where they are a normal finding! If stones do start to form, they are unlikely to cause a blockage in bitches (whose short, wide urethra or ""urine tube"", is normally able to expel them). They're much more dangerous in male dogs, where they may block the urethra or become lodged in the penis bone, preventing the dog from urinating.","The most common symptom is cystitis (although this may also be the cause, especially with Struvite!). This typically causes blood in the urine, pain and discomfort on urination, and unusually frequent production of small amounts of urine. If the bladder becomes blocked (a ""Urinary Obstruction""), however, the dog will be straining to urinate without passing anything except perhaps a small amount of blood-tinged fluid. Once their bladder is full this will result in uraemic poisoning, causing depression, dehydration, vomiting, collapse and, ultimately, death if not rapidly treated.","We can see the crystals in urine samples when we look at it down the microscope - each type looks different so we can tell which we're dealing with (for example, Urate crystals look like spindles or spiky balls, whereas Struvite forms rectangular crystals sometimes described as being like ""coffin lids""). An obstruction, however, we would usually diagnose based on the presenting signs, an overfull bladder, and evidence on blood tests of dangerously high levels of urea in the blood. Sometimes, we can see the stones in the bladder too, with ultrasound or X-rays.","Many stones (Struvite, Cystine and Urate) can be dissolved with a proper diet - we recommend a commercially prepared diet that is formulated not just to prevent them from forming, but to dissolve any stones already present. However, if they are too large, or are causing an obstruction, they usually have to be removed surgically. Many stones lodged in the urethra can be flushed back into the bladder, and then we can remove them easily from there in surgery, but if not, we will have to cut into the urethra to remove them.","If you have a dog who is prone to bladder crystals or stones, an appropriate diet is the best way to prevent them."
Cancer,"Cancer, or more properly neoplasia, is an abnormal growth of body cells. It occurs due to damage to the DNA (the ""blueprints"" or ""instructions"" that tell the cell how to behave), and especially to those genes which tell a cell when to stop multiplying itself. However, it's important to realise that cancer isn't a single disease - there are thousands of different types. Some are benign (grow but don't spread); some are malignant (invade tissues and spread around the body); and some are intermediate, being invasive but not prone to spreading.","Ultimately, all cancers are due to a mistake when copying the DNA, and is usually due to a random mistake. However, most mutations do not cause cancer - the damaged cell may repair itself (there are enzymes called dismutases whose only job is to fix errors in DNA!); if not, it will usually self-destruct, and if it doesn't, the immune system is very, very good at finding and destroying any mutated cells. However, with so many billions of cells in the body, every now and again, one slips through the net, and grows into a cancer, or tumour. That said, although there is a constant background level of random mutations occurring, some environmental factors can increase the risk - such as radiation, certain chemicals (carcinogens), or because they've inherited defective genes that mean the body doesn't shut down a cancerous growth so efficiently.","In general, cancer is a disease of older dogs - because they've had many more cell divisions, and therefore more chance of a mutation occurring somewhere along the way. There are a few tumours that are predominantly seen in younger animals, but they are relatively uncommon. In addition, there are a few breeds that are at increased risk of cancer (such as Flat Coat Retrievers) because of their genetics. Finally, some animals are immune to some types of cancer - for example, a castrated dog cannot develop testicular cancer because he doesn't have testicles to become cancerous!","Ultimately, it depends on what the cancer is, where it is, and how big it is. For example, a brain tumour may cause seizures or wobbliness, whereas a bone tumour in the leg might cause lameness. In general though, in most cancers you would expect to find a lump or swelling somewhere in the body; weight loss; lethargy and perhaps depression; swelling of the dog's lymph nodes (as the immune system tries to fight it); and occasionally vomiting or diarrhoea.","As usual, it depends on the type of tumour! There are, however, a range of different techniques we can use. In general, blood tests or the symptoms will make us suspicious of a tumour somewhere, and then we go on a ""tumour hunt"", using our eyes and hands, plus X-rays and ultrasound scans (and sometimes CT or MRI scans) to look for it. Once we've found the lump, we'll often take part of it out and send it to a pathologist to find out exactly what it is (you can't always tell just by looking!) and how best to treat it.","There are four major approaches. (1) a benign, slow growing tumour (such as a lipoma), may simply be left and monitored, especially if the dog is very old and sick and treatment might be more dangerous than it's worth. If it changes behaviour or starts causing a problem, we would, however, reassess it. (2) Surgical removal of the tumour tissue - this is usually the mainstay of treatment, and we'd aim, to remove every single tumour cell. Sadly however, this isn't always possible. (3) Chemotherapy is increasingly available, to prevent regrowth, mop up any stray cells, or slow down the growth of inoperable tumours. Unlike in humans, we use lower doses because keeping the dog comfortable and happy is more important than killing every last tumour cell. (4) Radiation therapy is available at some specialist hospitals to kill the tumour tissue.","No, full stop. Cancers will occur - probably the vast majority of dogs will develop one in their lifetime if they live long enough (although in most cases, it'll be so small no-one will ever know)."
