Condition,What is it?,What causes it?,What dogs are at risk?,What are the symptoms?,How is it diagnosed?,How can it be treated or managed?,Can it be prevented?
Corneal ulcers,"A corneal ulcer is a ""scratch"" on the front of the eye (the cornea being the transparent window in the front). Although the eye is quite capable of healing itself, damage to the cornea can easily become infected, resulting in scarring and, if not rapidly treated, vision impairment.","The most common cause is running through long grass! As the dog runs, the grass whips back in their face and, while the blink reflex is really fast, it isn't always quite quick enough to avoid a grass cut to the cornea. Other common causes include cat scratches (cats always go for the eyes or the nose) and grass seeds and other debris blown on the wind - when running in grass or if dogs stick their head out of a moving car window (which, by the way, it's a really bad idea to let them do!). However, an ulcer doesn't only happen because of trauma - excessive dryness can cause part of the cornea to die and peel away, giving a similar effect. This is seen in dogs with Dry Eye, and those whose eyelids don't meet in the middle properly.","Absolutely any dog may get a corneal ulcer due to trauma. However, dogs with protuberant eyeballs (like pugs) are at highest risk of getting an ulcer because their eyelids don't close properly to protect and moisten the corneal surface. In addition, some breeds (such as Boxers) are at an increased risk of developing an indolent, or non-healing, ulcer if they do get an eye injury.","A corneal ulcer, whatever the cause, usually presents with what we sometimes call the ""PLB Triad"" - Pain (the eye is obviously sore and often they'll rub at it); Lachrymation (running eyes); and Blepharospasm (the eye is held closed). If it's been there a while, it may become less painful and they'll open it again; you may then see a milky scar on the eye, and blood vessels growing in from the edges to help repair the damage. ","We look into their eye with an instrument called an ophthalmoscope, and then put some dye into the front of the eye (usually fluorescein, but occasionally others). These dyes stick only to damaged corneal tissue, and glow when exposed to blue light, so we can see where, and how large, the damaged area is.","The majority of corneal ulcers will heal rapidly with conservative treatment - antibiotic eyedrops to prevent and treat infection, and painkillers to reduce the discomfort and swelling. However, if an ulcer doesn't want to heal (these are called ""indolent ulcers""), or starts to get bigger (e.g. a ""melting ulcer""), there are a wide range of different treatment options we can use. These include plasma drops (where your dog's own blood is collected, processed, and then applied to the eye to prevent melting or widening of the ulcer) and EDTA drops (same reason). At the same time, a temporary soft contact lens may be fitted to protect the area while it heals. Surgical treatment may also be needed; the most common techniques are a Grid Keratectomy (where the eye is scored under anaesthetic to encourage healing) and Pedicle Flaps (where part of the lining of the eyelid is temporarily attached to the eyeball to help it heal).","In most dogs no; however ""doggles"" (goggles for dogs) may be useful to protect the eyes of pets with especially bulging eyes."
Coughing,"A cough is a really common symptom; however, it's a symptom not a disease! Coughing is a protective reflex - if anything irritates the airway, the dog will cough to try and clear mucus or debris from their lungs and windpipe. However, many different disease conditions can trigger a cough, so it's always worth getting it checked out.","Any source of irritation to the airway or throat can potentially cause coughing. The most common causes in dogs include: (1) Kennel Cough - a very common infection of the trachea (windpipe) and larynx (voice box); any dog can be infected (although vaccinated dogs are less likely to be ill) and the condition is very contagious. (2) Chest infections and pneumonia are uncommon but do occur in dogs; typically, the dog will be ill in themselves. (3) Heart failure is the commonest cause of coughing in older dogs - caused by an enlarged heart pressing on the trachea, and also an accumulation of fluid in the lungs (pulmonary oedema). (4) Lung tumours can also cause a cough; in dogs (who rarely smoke tobacco!), lung cancer is usually secondary to another tumour elsewhere. (5) Tracheal Collapse Disorder (commonest in toy breed dogs) also causes a characteristic cough, as the windpipe collapses and the dog coughs to try and inflate it. (6) Lungworm (both Dog and Fox Lungworm) can cause coughing, and are being increasingly diagnosed in the UK - although the distribution is rather patchy. (7) Inhalation of food - most common in dogs with laryngeal paralysis, but it can happen in dogs who are just excessively greedy and gobble their food!","Any dog can get a cough! However, heart disease and lung tumours are more common in older dogs, whereas kennel cough seems to be a bit more common in young adults. In addition, a dog who is vaccinated against kennel cough is less likely to develop the disease than one who isn't.","The type of cough can sometimes help to diagnose the cause (although beware of relying on this on its own!). Tracheal collapse usually causes a ""honking"" type cough, as does Kennel Cough (which may also be described as a barking cough). The cough in Kennel Cough can often be induced by gently feeling the larynx and windpipe in the neck. On the other hand, a cough caused by heart failure tends to be soft and almost apologetic. Other symptoms may also be relevant - for example, a dog with pneumonia will be systemically ill in themselves with a fever, lethargy and depression; whereas dogs with heart failure are more likely to have exercise intolerance.","Physical examination and listening to the chest with a stethoscope will give us a lot of information; however, additional tests are often needed - typically X-rays of the chest and ultrasound scans of the heart. Blood tests for infection, lungworm and heart function are also available.","It depends on the exact cause - for example, a chest infection would need antibiotics, whereas heart failure requires heart medications. We rarely look to suppress the cough itself (because in many cases it is doing its job in removing mucus and infectious material from the chest), but if needed, there are drugs we can use. NEVER use human cough syrups in your dog unless your vet has recommended it!","The risk of Kennel Cough can be minimised with vaccination and isolation of infected dogs; and lungworm can be prevented with certain spot-on medications, but otherwise no."
Cruciate injury,"The cruciate ligaments are a pair of structures in the stifle (like our knee) joint of the dog. These (especially the cranial cruciate ligament or CCL) may rupture or break, causing severe lameness and instability in the joint.","In the majority of cases, the rupture is due to degeneration of the ligament that occurs over some weeks or months before they fail completely. However, an otherwise healthy ligament can rupture if overloaded (typically if the dog slips when running and changing direction fast). The exact cause of the degeneration isn't clear, but is probably due to very mild overloading over months or years, and to some extent to the dog's genetics.","The biggest risk factor is obesity - a heavier dog means more load on the ligament and more risk that it will start to degenerate. In addition, certain breeds (such as Labradors) are reported to be at higher risk, and there is a (very slight) increase in risk in neutered dogs compared to entire ones.","Cruciate ligament injuries almost always present with moderate to severe lameness. This may appear suddenly (""acute lameness"") or more gradually (""chronic lameness""), depending on the exact type of damage. In addition, you may notice a swelling on the inside of the leg, over the joint (this is sometimes called a ""medial buttress"").","If the ligament has ruptured, it is possible to move the tibia (shinbone) forward relative to the femur (thigh bone) - this is called cranial draw. When we examine your dog, we may find this sign, but more often we will book your dog in for X-rays; when they're sedated for the X-ray, this cranial draw is much more obvious and will confirm the diagnosis.","In dogs under 8kg, the ligament my heal on its own, given strict rest and a very gradual reintroduction to exercise, possibly involving hydrotherapy. However, in heavier and larger dogs, this is very unlikely, and surgery is usually required. There are several different surgical procedures available, and which we'll use depends on the dog in question and the configuration of their stifle joint. The most common surgical procedures are ligament replacement (like a fabellar suture, where an artificial fibre is used to replace the damaged ligament); tibial tuberosity advancement (TTA and MMP operations, where the front of the tibia is cut and moved, so the cruciate ligament isn't needed any more); and tibial plateau levelling osteotomy (TPLO, where the bone is cut and rotated to stabilise the joint without needing a cruciate ligament). The great advantage of bone surgeries (TTA/MMP and TPLO) are that the dog will be up and able to walk within 24 hours, whereas the ligament replacement surgeries require longer. In all cases, however, the dog will need a very gradual return to exercise, and often physiotherapy or hydrotherapy. Too early return to exercise will result in the repair breaking down, and may result in breaking of the affected leg.",To some extent yes - don't let your dog get overweight or obese! That's the best way to minimise the risk - dogs of a healthy weight are at significantly lower risk.
Cryptorchidism,"Cryptorchidism, or retained testicles, is one of the most common developmental disorders in male puppies. It is important because once puberty has started, testicles are supposed to be outside the body where they can be kept cool. An overheated testicle inside the body will be infertile (sperm cannot be made at body temperature) and is nearly ten times more likely to become cancerous with a nasty disease called a Sertoli Cell Tumour.","When the puppy is in his mother's womb, his testicles develop next to the kidneys (just like in all mammals, including humans). Once his body decides it is male, a ligament called the gubernaculum pulls the testicles down through the body, through the inguinal canal and into the scrotum - they are supposed to have arrived by a couple of weeks after birth. If this system fails for any reason (usually due to a failure of the gubernaculum to contract fully), the dog will be cryptorchid. It is not uncommon for testicles to be ""hidden away"" in the inguinal canal before puberty; however, when they grow to adult size at about 6-9 months old, they should drop to and stay in the scrotum - if they're inside the abdomen at this point, they will be too big to fit through the canal.","This is a genetic condition, so a dog whose father had the condition will probably be cryptorchid, too.","Simple - affected dogs will usually only have one testicle visible! Occasionally, both testicles are retained, but this is uncommon. If your dog does seem to have only one testicle, it is very unlikely that they genuinely don't have a second one (monorchidism), it's far more probable that the second is hidden away internally.","Physical examination makes it very clear that the scrotum isn't fully occupied! If the second one cannot be located during surgery, it is possible to remove the present testicle and then do hormone tests to see if there is another one hidden away somewhere.","Because of the cancer risk, the retained testicle MUST be removed, and because the condition is genetic, so must the ""normal"" one. In humans, a procedure called an orchiopexy is used to fix a retained testicle into the proper place in the scrotum; however, because of the heritability of the condition, it is considered unethical to do this in dogs.","Only by not breeding from existing cryptorchid dogs, and preventing them from breeding by castration."
Cushing's Disease,"Cushing's Disease, or Hyperadrenocorticism, is a disorder of the endocrine system, where the adrenal glands release too much cortisol (a natural steroid).","Cortisol is sometimes called ""the stress hormone"", because it is released in the body in times of stress (physical or mental/emotional). It is produced in the adrenal glands, but these are themselves controlled by the pituitary gland, which releases a hormone called ACTH (adrenocorticotropic hormone) telling the adrenals to make more cortisol. If an adrenal gland malfunctions and starts making excessive amounts of cortisol, or if the pituitary malfunctions and releases excessive amounts of ACTH, the result is the same. In most cases, these are due to secreting tumours (about 85% are in the pituitary, so-called Pituitary Cushing's). There is another form of the disease too, called Iatrogenic Cushing's, which is due to excessively high doses of artificial steroids.",The diseases usually affects adult to elderly dogs.,"The symptoms of any kind of Cushing's are the same; as steroids affect a wide range of different systems, Cushing's can have a wide range of different effects. Common symptoms, however, include: (1) Increased thirst and increased urination. (2) Increased hunger. (3) Hair loss, usually causing bald patches on both flanks. (4) Muscle loss and fat redistribution, resulting in a ""pot-bellied"" appearance. (5) Increased susceptibility to infection (especially urinary tract and skin). (6) Increased susceptibility to diabetes mellitus. (7) Lethargy. (8) Dislike of heat or hot weather. (9) Increased breathing rate, and often increased panting.","Although the symptoms are quite characteristic, unfortunately there is no test that is 100% accurate in diagnosing Cushing's Disease. The most commonly used tests are: (1) The Urine Cortisol to Creatinine Ratio (UCCR) Test. This is very good as a screening test, but gives lots of false positive results (in other words, you may get a positive result even if the dog doesn't have Cushing's, but it's very unlikely you'll get a negative test if it does). (2) The ACTH Stimulation Test, which works by measuring the response of the adrenal glands to the ACTH hormone. (3) The Dexamethasone Suppression Test (in High and Low Dose forms), which looks to see whether adrenal function is reduced when additional steroids are introduced to the body, which it should be but isn't in Cushing's. The High Dose test can also distinguish between Pituitary and Adrenal Cushing's. ","The standard treatment is with medications that temporarily suppress the adrenal gland's ability to make cortisol; with the proper dose, cortisol levels can be managed and kept within the proper range. The active ingredient in these tablets is trilostane, and they are licensed for use in dogs. There is another, related, drug, that permanently destroys the adrenal tissue (mitotane), but this is not licensed and is rarely used, because even a very slight overdose could lead to Addison's Disease.","No, there is no preventative treatment known."
Cystitis,"Cystitis just means ""inflammation of the bladder"". In dogs, we usually mean a urinary tract infection (bacteria growing in the bladder), but cystitis can also be caused by bladder stones (urolithiasis) or, rarely, a bladder tumour.","By far the most common cause of cystitis in dogs is ascending infection - bacteria that crawl their way up the urethra (the ""urine tube"") from the outside world. This is much more likely in dogs where the bladder is a less hostile place - for example, diabetic dogs (where the urine contains lots of sugar for the bugs to feed on), those with Cushing's disease (where the immune system is impaired), and those with unusually dilute urine (e.g. Cushing's, Psychogenic Polydipsia, or Diabetes Insipidus). The bacterial infection damages the bladder wall, resulting in symptoms. It is now thought that in some cases, the bacteria may in fact penetrate further, causing a kidney infection. If bladder stones form, there are a number of different types; the most common, struvite, forms because of an infection, whereas other types may reflect an imbalanced diet, or a metabolic defect (e.g. liver disorders leading to urate stones). These stones then rub against the wall of the bladder, causing irritation (just like an infection would). Occasionally, in older dogs, a tumour (or cancer) of the bladder wall may form, also causing the clinical signs.","Female dogs are at a much higher risk of infection, because their urethra is shorter and wider, so bacteria can more easily enter along it. Bladder stones are most often secondary to an infection, but some dogs (such as Dalmatians) are at an increased risk due to certain metabolic differences, and any dog with liver disease is also at increased risk. Bladder tumours, meanwhile, are most common in older dogs.","The symptoms may be subtle or very obvious, depending on the severity and the specific dog! However, they most commonly include: (1) Blood in the urine. (2) Urinating often, but only producing a small amount each time. (3) Pain on urination. (4) Sometimes, incontinence may seem to occur. It is unusual for cystitis to cause a fever or other signs of systemic infection (such as lethargy or loss of appetite); if this occurs, its suggests a more serious condition such as a kidney infection. If your dog is trying to pass urine and isn't able to, they may have a stone blocking their bladder - this is an emergency and needs IMMEDIATE veterinary attention.","Most commonly, cystitis will be diagnosed with a urine sample. The presence of blood suggests significant irritation to the bladder wall, and often we can see (or grow) bacteria from in the urine. A urine sample mustn't be collected from the floor or ground, because we won't be able to check for infection - instead, it should be collected in mid flow (the use of a shallow dish or saucepan may help!). Other tests on the urine may demonstrate crystals (suggestive of stones forming) or abnormal cells (suggestive of a bladder tumour). If stones or a tumour are suspected, X-rays or ultrasound scans may be required to find and localise them.","The vast majority of dogs with cystitis will respond really well to simple treatment with a course of antibiotics. The use of a urine sample to grow the specific bacteria (culture and sensitivity testing) will allow us to choose the most appropriate and effective antibiotic. If there are bladder stones, it may be possible to dissolve them with a special diet; however, some stones are too large, the wrong type, or in the wrong place (for example, blocking the bladder) for this to work, and in these cases they must be surgically removed. Bladder tumours are, sadly, usually inoperable, but there are some medical treatments that can reduce the severity of the symptoms, making the dog more comfortable.","If a dog has a tendency to develop crystals or stones, the use of a special Urinary diet will reduce the chance of any forming. In any dog, making sure that they have free and unrestricted access to water will reduce the risk of cystitis developing, but cannot entirely prevent it."
DCM,"DCM stands for Dilated Cardiomyopathy, a form of heart disease characterised by an enlarged but weakened heart muscle. It is most commonly seen in certain breeds, but may also be due to dietary deficiencies. In many cases, DCM leads to abnormal heart rhythms (arrhythmias). ","In most cases, it is due to genetic disease, but a taurine-deficient diet can also be a cause. In either case, the heart muscle becomes weaker, resulting in decreased pumping effectiveness. As the muscle becomes weaker, the heart swells up like a balloon, resulting in an enlarged heart with very thin walls (which of course reduces the pumping power even further). The enlargement of the chambers of the heart and thinning of the muscular walls increases the risk of arrhythmias as the ""communications system"" inside the heart becomes less effective. Eventually, it will inevitably lead to heart failure.","Any dog with a taurine-poor diet (nowadays, this is usually confined to dogs fed a poorly designed home-cooked diet). The more common genetic form is seen primarily in Dobermans, Boxers, Deerhounds, Irish Wolfhounds, Great Danes and other giant breeds, although it is also recognised occasionally in Cocker Spaniels and Portuguese Water Dogs.","Most dogs in the early stages of the disease (the ""preclinical phase"") show no symptoms. However, this will progress over time to include reduced exercise tolerance, weakness, depression, weak pulses and sometimes a highly irregular or chaotic heart rhythm (atrial fibrillation). Eventually, congestive heart failure will develop with breathlessness, coughing, blue gums, swelling of the abdomen and (sometimes) extremities, collapse and ultimately death. In some dogs (especially Boxers), sudden death may occur without warning. Unfortunately, the disease is always progressive and always fatal - without treatment, death usually occurs in 6-24 months after diagnosis.","Initially, signs of heart disease in a dog of a susceptible breed are highly suspicious; X-rays can identify an enlarged heart but not the exact cause. A confirmed diagnosis therefore relies on echocardiography - an heart scan using ultrasound. With this technique, the swollen, weak heart is clearly visible. In some cases, an ECG may also be useful to categorise the arrhythmia, allowing our vets to determine the best treatment.","The mainstay of treatment is to increase the pumping strength of the heart; and to manage the abnormal heartbeat. The most commonly used drug is pimobendan, which makes the heart muscle work harder, increasing the heart's efficiency. If atrial fibrillation is occurring, the drug digoxin may be used instead, or beta-blockers to slow down the abnormal heart rate. If the dog has gone into congestive heart failure, diuretics (""water tablets"") such as frusemide, and ACE inhibitors such as benazepril will help to mitigate the symptoms. Dietary management may also be useful - particularly a low-sodium high taurine and high carnitine diet (as in most commercial cardiac foods). Good medical management will not stop the progression of the disease, but it will slow it down, and make the dog more comfortable.","The dietary form can (by feeding a proper, healthy diet with added taurine), but the genetic form cannot, sadly, be prevented."
Dental disease,"Dental disease is a catch-all term relating to disease of the teeth and gums. It is very common in dogs, and ranges from mild scale on the teeth to severe periodontal disease that may contribute to kidney or heart disease. ","Unlike us, dogs and cats do not brush their teeth every morning and evening. As a result, plaque builds up - this is a mixture of food material, dead cells from the gums, and bacteria. Over time, this becomes thicker and then mineralises (turns into a hard, stone-like matrix which we call tartar). When this bacteria-ridden growth reaches the gum line, it causes infection of the gums - gingivitis. If untreated, this will spread down into the tooth socket, and at this stage we refer to it as periodontitis. This weakens the ligaments holding the teeth in the socket, causing them to become loose and eventually fall out. In addition, infection can spread through the bloodstream to other organs, especially the heart and kidneys. It doesn't matter what food a dog is eating, or whether they regularly chew bones or chew toys - some dogs will still develop tartar and then dental disease (although some foods are worse than others).","All dogs are at risk from dental disease, but it is often most dramatic in older dogs where the plaque has had years to build up. In addition, miniature and toy breeds are slightly more likely to develop early onset dental disease because they often have abnormalities of the mouth, meaning the teeth are at odd angles and therefore are more likely to build up plaque and tartar.","Initially, the main symptom is halitosis (bad breath!). Over time, this may progress to red, swollen and inflamed gums, loose teeth and pain when eating. In severe cases, dogs may stop eating entirely. In addition, heart disease and kidney failure have both been linked to untreated dental disease.","Simple physical examination is often sufficient, however, dental X-rays are also invaluable. In most dogs, a full examination of the mouth and teeth requires a general anaesthetic so that the gum-lines can be probed (something that isn't possible in very many conscious ones!).","Once dental disease (even severe plaque) has developed, it requires surgical treatment - we call this ""a dental"", and it's exactly the same treatment as you get when you go to the dentist. The only difference is that we have to use a general anaesthetic. We will carefully examine every tooth, and remove any that are too diseased to survive. Then we'll clean the remaining teeth with an ultrasonic scaler and then polish them to make them smooth. Afterwards, preventative care is all that is usually needed!","Yes, very easily. Although there are a range of ""dental chews"" available, these are of limited use in most dogs (although they're often better than nothing). The same goes for specialist dental diets; chewing on bones is not reliable and may introduce health problems of its own, so isn't something we'd usually recommend. The most important and effective preventative treatment is tooth brushing - something you should be doing every day. Use a normal tooth brush, and special dog-toothpaste (don't use human toothpaste - the mint burns their gums), and gently brush the teeth at least daily. Mouthwash additives in their water or food will also help slow down the growth of plaque. Regular brushing sounds difficult, but it is the only way to prevent the formation of plaque and subsequent dental disease."
Diabetes mellitus,"Like humans, dogs can get diabetes mellitus (sugar diabetes). And like us, it is more likely to occur in the obese than in those of a healthy weight. While the early symptoms may be subtle, it is a potentially fatal condition and can result in severe and life-threatening complications.","Insulin is needed in the body to tell cells to take glucose (sugar) out of the bloodstream and into the cells, where it can be used as fuel. In diabetic dogs, there is insufficient production (often coupled with peripheral insulin resistance), so the blood glucose levels rise uncontrolled. However, the body is unable to use this sugar, and instead turns to burning fats and proteins for fuel. In the short term, this is fine, but if it goes on too long, the dog is at risk of diabetic ketoacidosis, where the blood become acidic and organ systems start to shut down. This is rapidly fatal without immediate emergency treatment.","Any dog may develop diabetes, but it is most common in mid-adult life. Specific risk factors include pancreatitis (because of damage to the pancreas, where insulin is made), pregnancy, some infectious viral diseases, the use of high doses of steroids, Cushing's Disease, and (most importantly) obesity. Certain breeds may be at higher risk, even when all these factors have been accounted for - there is evidence that the Miniature Pinscher, Cairn Terrier and possibly Dachshund and Poodle are at slightly increased risk.","In the early stages, the most common symptoms are increased thirst and increased drinking (this may lead to mild urinary incontinence, especially overnight); increased hunger and weight loss (because they cannot use the sugars in their blood). Affected dogs are also prone to repeated urinary tract infections. Later, if diabetic ketoacidosis occurs, loss of appetite, lethargy, depression, dehydration, vomiting, collapse and ultimately coma and death. All dogs with diabetes, even if it is well controlled, are likely to develop cataracts as well, so it's always worth monitoring their eyesight, or getting the vet to check it over when you come in.","An increased blood glucose level is highly suspicious, as is a high sugar reading in the urine. However, there are other possible causes of these signs (including stress and certain kidney diseases), so the most usual way to confirm the diagnosis of simple or early diabetes is to send away blood for a fructosamine test - this measures the AVERAGE blood glucose level over the previous 2-3 weeks. Another method is to do repeated blood sugar levels over several hours to a day - this is called a blood glucose curve, and will clearly demonstrate persistent high blood glucose levels. In Diabetic Ketoacidosis, the presence of ketones in the blood over a certain level is diagnostic - we often measure this by ketones in the urine (which is equally useful). ","Most diabetic dogs can be managed and stabilised effectively, but it is very unusual for it to be possible to manage them without the use of regular daily (or twice daily) injections of insulin. By giving extra insulin at exactly the correct dose, we can ""top up"" what they're making, and keep their levels in the ""normal"" range. However, as insulin levels vary over the course of the day, and high levels can be dangerous (leading to a ""hypoglycaemic episode"" where the dog behaves abnormally, and may become unconscious, have fits, or even die) it is important to match the insulin dose to their feeding times. As a result, a regular, stable routine is VITAL, as is regular monitoring - with a blood glucose meter at home or blood glucose curves. Special diabetic diets also help, by smoothing out the peaks and troughs in blood sugar levels. ","The risk can be reduced by keeping your dog a healthy weight, but even healthy dogs develop diabetes, and there is no certain way to prevent it."
